Function,Iterations,Concatenations,OPS,Error,JVM,Computer
Static Class,100000,4,218.528,15.443,temurin-20.0.2,M2 Macbook Air
Static Class,1000000,4,21.125,0.701,temurin-20.0.2,M2 Macbook Air
Static Class,1,8,7806718.245,1647074.833,temurin-20.0.2,M2 Macbook Air
Static Class,10,8,769274.809,154783.751,temurin-20.0.2,M2 Macbook Air
Static Class,100,8,77834.986,15173.726,temurin-20.0.2,M2 Macbook Air
Static Class,1000,8,7797.374,940.981,temurin-20.0.2,M2 Macbook Air
Static Class,10000,8,748.092,53.07,temurin-20.0.2,M2 Macbook Air
Static Class,100000,8,74.795,16.251,temurin-20.0.2,M2 Macbook Air
Static Class,1000000,8,7.289,0.533,temurin-20.0.2,M2 Macbook Air
Static Class,1,16,7283595.651,970984.593,temurin-20.0.2,M2 Macbook Air
Static Class,10,16,738452.886,50341.898,temurin-20.0.2,M2 Macbook Air
Static Class,100,16,70209.95,7696.911,temurin-20.0.2,M2 Macbook Air
Static Class,1000,16,7237.232,691.311,temurin-20.0.2,M2 Macbook Air
Static Class,10000,16,733.57,30.328,temurin-20.0.2,M2 Macbook Air
Static Class,100000,16,72.349,7.151,temurin-20.0.2,M2 Macbook Air
Static Class,1000000,16,7.106,0.623,temurin-20.0.2,M2 Macbook Air
Static Class,1,32,6598267.067,19299.994,temurin-20.0.2,M2 Macbook Air
Static Class,10,32,665076.455,2153.059,temurin-20.0.2,M2 Macbook Air
Static Class,100,32,65049.583,1192.251,temurin-20.0.2,M2 Macbook Air
Static Class,1000,32,6517.751,85.6,temurin-20.0.2,M2 Macbook Air
Static Class,10000,32,649.394,1.655,temurin-20.0.2,M2 Macbook Air
Static Class,100000,32,64.159,0.128,temurin-20.0.2,M2 Macbook Air
Static Class,1000000,32,6.349,0.122,temurin-20.0.2,M2 Macbook Air
Static Class,1,64,3367295.783,6874.445,temurin-20.0.2,M2 Macbook Air
Static Class,10,64,334382.535,3199.798,temurin-20.0.2,M2 Macbook Air
Static Class,100,64,32912.235,126.961,temurin-20.0.2,M2 Macbook Air
Static Class,1000,64,3303.007,136.246,temurin-20.0.2,M2 Macbook Air
Static Class,10000,64,336.177,2.666,temurin-20.0.2,M2 Macbook Air
Static Class,100000,64,33.487,0.152,temurin-20.0.2,M2 Macbook Air
Static Class,1000000,64,3.308,0.033,temurin-20.0.2,M2 Macbook Air
String Buffer,1,1,68293705.89,455829.138,temurin-20.0.2,M2 Macbook Air
String Buffer,10,1,6495757.018,11704.537,temurin-20.0.2,M2 Macbook Air
String Buffer,100,1,624076.619,1942.003,temurin-20.0.2,M2 Macbook Air
String Buffer,1000,1,58087.447,313.693,temurin-20.0.2,M2 Macbook Air
